filepath,width,height,bboxes
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0009178.jpg,1600,1200,"[{'class': 'Truck', 'x1': 539, 'x2': 1466, 'y1': 1, 'y2': 751}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0001484.jpg,1920,1080,"[{'class': 'Sedan', 'x1': 369, 'x2': 691, 'y1': 110, 'y2': 465}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0004075.jpg,1600,1200,"[{'class': 'SUV', 'x1': 538, 'x2': 1055, 'y1': 36, 'y2': 590}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0007803.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 463, 'x2': 1032, 'y1': 345, 'y2': 930}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0008022.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 1019, 'x2': 1600, 'y1': 284, 'y2': 819}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0005488.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 843, 'x2': 1513, 'y1': 366, 'y2': 1029}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0007356.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 763, 'x2': 1328, 'y1': 316, 'y2': 853}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0007655.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 601, 'x2': 1075, 'y1': 44, 'y2': 499}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0000112.jpg,1920,1080,"[{'class': 'Sedan', 'x1': 317, 'x2': 739, 'y1': 341, 'y2': 843}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0008767.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 821, 'x2': 1408, 'y1': 385, 'y2': 912}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0001502.jpg,1920,1080,"[{'class': 'SUV', 'x1': 1008, 'x2': 1394, 'y1': 185, 'y2': 676}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0007116.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 696, 'x2': 1235, 'y1': 185, 'y2': 699}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0006260.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 642, 'x2': 1153, 'y1': 276, 'y2': 795}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0004606.jpg,1600,1200,"[{'class': 'SUV', 'x1': 1073, 'x2': 1600, 'y1': 249, 'y2': 1002}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0003156.jpg,1600,1200,"[{'class': 'Microbus', 'x1': 709, 'x2': 1200, 'y1': 58, 'y2': 687}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0008641.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 40, 'x2': 674, 'y1': 385, 'y2': 946}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0005197.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 696, 'x2': 1218, 'y1': 204, 'y2': 734}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0009694.jpg,1600,1200,"[{'class': 'Truck', 'x1': 863, 'x2': 1600, 'y1': 1, 'y2': 609}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0004704.jpg,1600,1200,"[{'class': 'SUV', 'x1': 833, 'x2': 1486, 'y1': 166, 'y2': 960}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0007949.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 965, 'x2': 1563, 'y1': 329, 'y2': 933}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0000344.jpg,1920,1080,"[{'class': 'Sedan', 'x1': 255, 'x2': 644, 'y1': 209, 'y2': 625}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0007885.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 735, 'x2': 1248, 'y1': 172, 'y2': 702}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0005441.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 385, 'x2': 922, 'y1': 148, 'y2': 656}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0000920.jpg,1920,1080,"[{'class': 'Sedan', 'x1': 346, 'x2': 723, 'y1': 416, 'y2': 871}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0008209.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 793, 'x2': 1287, 'y1': 183, 'y2': 635}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0004730.jpg,1600,1200,"[{'class': 'SUV', 'x1': 940, 'x2': 1556, 'y1': 108, 'y2': 826}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0007795.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 441, 'x2': 1026, 'y1': 265, 'y2': 800}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0004645.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 881, 'x2': 1517, 'y1': 180, 'y2': 864}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0008891.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 519, 'x2': 1054, 'y1': 143, 'y2': 619}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0006367.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 884, 'x2': 1408, 'y1': 217, 'y2': 691}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0007400.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 567, 'x2': 1086, 'y1': 82, 'y2': 563}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0003899.jpg,1600,1200,"[{'class': 'Microbus', 'x1': 791, 'x2': 1425, 'y1': 8, 'y2': 641}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0003125.jpg,1600,1200,"[{'class': 'Microbus', 'x1': 1021, 'x2': 1516, 'y1': 119, 'y2': 820}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0004479.jpg,1600,1200,"[{'class': 'SUV', 'x1': 474, 'x2': 998, 'y1': 68, 'y2': 643}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0009098.jpg,1600,1200,"[{'class': 'Truck', 'x1': 532, 'x2': 1393, 'y1': 35, 'y2': 988}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0003226.jpg,1600,1200,"[{'class': 'Minivan', 'x1': 695, 'x2': 1346, 'y1': 1, 'y2': 601}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0009436.jpg,1600,1200,"[{'class': 'Truck', 'x1': 536, 'x2': 1409, 'y1': 1, 'y2': 670}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0001342.jpg,1920,1080,"[{'class': 'Sedan', 'x1': 403, 'x2': 782, 'y1': 218, 'y2': 647}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0000315.jpg,1920,1080,"[{'class': 'Sedan', 'x1': 434, 'x2': 815, 'y1': 202, 'y2': 609}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0005775.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 539, 'x2': 1125, 'y1': 169, 'y2': 726}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0005362.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 465, 'x2': 1030, 'y1': 215, 'y2': 699}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0004284.jpg,1600,1200,"[{'class': 'SUV', 'x1': 539, 'x2': 1131, 'y1': 177, 'y2': 922}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0006846.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 737, 'x2': 1278, 'y1': 201, 'y2': 683}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0005750.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 705, 'x2': 1274, 'y1': 220, 'y2': 720}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0007399.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 648, 'x2': 1177, 'y1': 204, 'y2': 694}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0003410.jpg,1600,1200,"[{'class': 'Minivan', 'x1': 625, 'x2': 1348, 'y1': 1, 'y2': 606}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0000750.jpg,1920,1080,"[{'class': 'SUV', 'x1': 371, 'x2': 812, 'y1': 271, 'y2': 838}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0008364.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 582, 'x2': 1073, 'y1': 79, 'y2': 537}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0004696.jpg,1600,1200,"[{'class': 'SUV', 'x1': 682, 'x2': 1259, 'y1': 35, 'y2': 692}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0006742.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 705, 'x2': 1224, 'y1': 92, 'y2': 577}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0007822.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 411, 'x2': 1017, 'y1': 207, 'y2': 773}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0000494.jpg,1920,1080,"[{'class': 'Microbus', 'x1': 461, 'x2': 916, 'y1': 209, 'y2': 936}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0005585.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 868, 'x2': 1461, 'y1': 225, 'y2': 819}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0009085.jpg,1600,1200,"[{'class': 'Truck', 'x1': 464, 'x2': 1373, 'y1': 1, 'y2': 809}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0001207.jpg,1920,1080,"[{'class': 'Microbus', 'x1': 328, 'x2': 794, 'y1': 221, 'y2': 918}, {'class': 'Minivan', 'x1': 1036, 'x2': 1488, 'y1': 12, 'y2': 592}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0001523.jpg,1920,1080,"[{'class': 'Sedan', 'x1': 1024, 'x2': 1431, 'y1': 418, 'y2': 938}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0002057.jpg,1920,1080,"[{'class': 'Microbus', 'x1': 520, 'x2': 874, 'y1': 11, 'y2': 496}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0007443.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 651, 'x2': 1246, 'y1': 148, 'y2': 704}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0005623.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 517, 'x2': 959, 'y1': 74, 'y2': 521}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0004895.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 657, 'x2': 1354, 'y1': 401, 'y2': 1079}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0001829.jpg,1920,1080,"[{'class': 'Sedan', 'x1': 383, 'x2': 824, 'y1': 372, 'y2': 880}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0008401.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 519, 'x2': 1022, 'y1': 241, 'y2': 755}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0002223.jpg,1920,1080,"[{'class': 'Sedan', 'x1': 808, 'x2': 1237, 'y1': 396, 'y2': 937}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0005773.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 823, 'x2': 1436, 'y1': 310, 'y2': 1018}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0006188.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 705, 'x2': 1216, 'y1': 239, 'y2': 773}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0006460.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 847, 'x2': 1500, 'y1': 436, 'y2': 1037}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0003080.jpg,1600,1200,"[{'class': 'Microbus', 'x1': 790, 'x2': 1305, 'y1': 113, 'y2': 807}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0001321.jpg,1920,1080,"[{'class': 'SUV', 'x1': 979, 'x2': 1442, 'y1': 379, 'y2': 1050}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0008580.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 562, 'x2': 1116, 'y1': 281, 'y2': 821}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0009210.jpg,1600,1200,"[{'class': 'Truck', 'x1': 618, 'x2': 1525, 'y1': 1, 'y2': 715}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0004336.jpg,1600,1200,"[{'class': 'Microbus', 'x1': 836, 'x2': 1420, 'y1': 1, 'y2': 571}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0002412.jpg,1600,1200,"[{'class': 'Bus', 'x1': 423, 'x2': 1286, 'y1': 1, 'y2': 569}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0002247.jpg,1920,1080,"[{'class': 'Sedan', 'x1': 1129, 'x2': 1456, 'y1': 260, 'y2': 630}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0007783.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 575, 'x2': 1157, 'y1': 409, 'y2': 1000}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0008156.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 968, 'x2': 1524, 'y1': 156, 'y2': 712}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0003570.jpg,1600,1200,"[{'class': 'Minivan', 'x1': 759, 'x2': 1443, 'y1': 49, 'y2': 768}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0004954.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 741, 'x2': 1244, 'y1': 236, 'y2': 763}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0006064.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 627, 'x2': 1203, 'y1': 281, 'y2': 883}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0004581.jpg,1600,1200,"[{'class': 'SUV', 'x1': 452, 'x2': 1017, 'y1': 39, 'y2': 664}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0003855.jpg,1600,1200,"[{'class': 'SUV', 'x1': 500, 'x2': 1029, 'y1': 79, 'y2': 741}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0000591.jpg,1920,1080,"[{'class': 'Sedan', 'x1': 622, 'x2': 1019, 'y1': 229, 'y2': 674}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0005061.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 769, 'x2': 1306, 'y1': 231, 'y2': 710}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0002730.jpg,1600,1200,"[{'class': 'Bus', 'x1': 620, 'x2': 1486, 'y1': 1, 'y2': 664}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0004540.jpg,1600,1200,"[{'class': 'SUV', 'x1': 595, 'x2': 1110, 'y1': 7, 'y2': 614}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0003732.jpg,1600,1200,"[{'class': 'SUV', 'x1': 371, 'x2': 972, 'y1': 77, 'y2': 715}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0005759.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 491, 'x2': 1050, 'y1': 233, 'y2': 800}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0009401.jpg,1600,1200,"[{'class': 'Truck', 'x1': 614, 'x2': 1600, 'y1': 1, 'y2': 1010}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0007239.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 724, 'x2': 1246, 'y1': 172, 'y2': 712}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0002416.jpg,1600,1200,"[{'class': 'Bus', 'x1': 605, 'x2': 1470, 'y1': 36, 'y2': 638}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0006517.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 687, 'x2': 1196, 'y1': 265, 'y2': 803}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0007477.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 597, 'x2': 1136, 'y1': 215, 'y2': 728}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0001144.jpg,1920,1080,"[{'class': 'Sedan', 'x1': 897, 'x2': 1230, 'y1': 113, 'y2': 491}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0005710.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 791, 'x2': 1276, 'y1': 116, 'y2': 561}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0007746.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 523, 'x2': 1108, 'y1': 300, 'y2': 856}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0001313.jpg,1920,1080,"[{'class': 'Sedan', 'x1': 956, 'x2': 1387, 'y1': 410, 'y2': 929}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0009124.jpg,1600,1200,"[{'class': 'Truck', 'x1': 462, 'x2': 1482, 'y1': 1, 'y2': 876}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0000489.jpg,1920,1080,"[{'class': 'Sedan', 'x1': 13, 'x2': 402, 'y1': 205, 'y2': 602}, {'class': 'SUV', 'x1': 1130, 'x2': 1421, 'y1': 3, 'y2': 303}, {'class': 'SUV', 'x1': 714, 'x2': 1030, 'y1': 5, 'y2': 345}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0007200.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 702, 'x2': 1237, 'y1': 220, 'y2': 704}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0005519.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 1011, 'x2': 1593, 'y1': 318, 'y2': 914}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0001958.jpg,1920,1080,"[{'class': 'Sedan', 'x1': 431, 'x2': 855, 'y1': 419, 'y2': 940}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0005495.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 398, 'x2': 896, 'y1': 122, 'y2': 579}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0007509.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 750, 'x2': 1369, 'y1': 361, 'y2': 922}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0005788.jpg,1600,1200,"[{'class': 'Microbus', 'x1': 523, 'x2': 1056, 'y1': 66, 'y2': 616}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0005768.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 743, 'x2': 1298, 'y1': 244, 'y2': 771}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0008831.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 968, 'x2': 1546, 'y1': 289, 'y2': 840}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0003347.jpg,1600,1200,"[{'class': 'Minivan', 'x1': 756, 'x2': 1448, 'y1': 1, 'y2': 756}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0000820.jpg,1920,1080,"[{'class': 'Sedan', 'x1': 563, 'x2': 897, 'y1': 133, 'y2': 522}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0004767.jpg,1600,1200,"[{'class': 'SUV', 'x1': 879, 'x2': 1459, 'y1': 52, 'y2': 667}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0006341.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 534, 'x2': 1093, 'y1': 180, 'y2': 715}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0003265.jpg,1600,1200,"[{'class': 'Minivan', 'x1': 541, 'x2': 1239, 'y1': 1, 'y2': 578}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0009574.jpg,1600,1200,"[{'class': 'Truck', 'x1': 598, 'x2': 1565, 'y1': 1, 'y2': 712}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0002178.jpg,1920,1080,"[{'class': 'Sedan', 'x1': 1079, 'x2': 1374, 'y1': 80, 'y2': 397}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0006792.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 487, 'x2': 998, 'y1': 217, 'y2': 710}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0008426.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 786, 'x2': 1461, 'y1': 321, 'y2': 962}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0000765.jpg,1920,1080,"[{'class': 'Sedan', 'x1': 456, 'x2': 858, 'y1': 339, 'y2': 845}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0009328.jpg,1600,1200,"[{'class': 'Truck', 'x1': 570, 'x2': 1536, 'y1': 1, 'y2': 840}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0001509.jpg,1920,1080,"[{'class': 'Sedan', 'x1': 360, 'x2': 792, 'y1': 366, 'y2': 900}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0007576.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 733, 'x2': 1231, 'y1': 50, 'y2': 510}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0009492.jpg,1600,1200,"[{'class': 'Truck', 'x1': 829, 'x2': 1597, 'y1': 1, 'y2': 673}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0001370.jpg,1920,1080,"[{'class': 'SUV', 'x1': 440, 'x2': 796, 'y1': 45, 'y2': 474}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0007661.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 441, 'x2': 927, 'y1': 159, 'y2': 606}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0006610.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 601, 'x2': 1136, 'y1': 111, 'y2': 662}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0009290.jpg,1600,1200,"[{'class': 'Truck', 'x1': 523, 'x2': 1391, 'y1': 41, 'y2': 701}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0008906.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 646, 'x2': 1175, 'y1': 239, 'y2': 734}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0006107.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 597, 'x2': 1136, 'y1': 196, 'y2': 712}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0007064.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 588, 'x2': 1121, 'y1': 289, 'y2': 853}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0000410.jpg,1920,1080,"[{'class': 'Sedan', 'x1': 595, 'x2': 1046, 'y1': 407, 'y2': 973}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0001418.jpg,1920,1080,"[{'class': 'Minivan', 'x1': 442, 'x2': 963, 'y1': 172, 'y2': 775}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0003705.jpg,1600,1200,"[{'class': 'SUV', 'x1': 5, 'x2': 783, 'y1': 391, 'y2': 1195}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0003243.jpg,1600,1200,"[{'class': 'Minivan', 'x1': 550, 'x2': 1373, 'y1': 1, 'y2': 884}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0007947.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 974, 'x2': 1515, 'y1': 281, 'y2': 821}]"
